doi,target_formula,paragraph_string,synthesis_type,n_precursors,precursor_formulas,precursor_elements,n_operations,temperatures_C,times_h,precursor_count,precursor_diversity,n_steps,max_temperature_C,total_time_h,complexity_index,formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
10.1039/C3CY00014A,SrTiO3,Flux treatment using various kinds of molten salts <...> wed by 1273 K for 20 h with intermediate grinding.,solid-state,2,"['SrCO3', 'TiO2']","['C', 'O', 'Sr', 'Ti']",15,"[199.85000000000002, 999.85, 899.85]","[5.0, 1.0]",2.0,4.0,15.0,999.85,6.0,-0.04648941148749595,SrTiO3,1.848799999999999,-3.551662291666667,0.0,5.093987781835845,119.62507795144641
10.1039/C3NJ00997A,Li2MnO3,Li2MnO3 nanowires were fabricated via a molten-sal <...> alcined under an air atmosphere at 800 °C for 5 h.,solid-state,2,"['LiNO3', 'Mn2O3']","['Li', 'Mn', 'N', 'O']",7,"[70.0, 800.0]","[0.16666666666666666, 5.0]",2.0,4.0,7.0,800.0,5.166666666666667,-0.6908052922938029,Li2MnO3,1.368399999999999,-2.180112729932952,0.0,3.969588299469367,195.46738339598636
10.1039/C5CP01095K,SrAl12O19,"Synthesis of SrAl12O19, Sr4Al14O25, SrAl2O4, Sr3Al <...> 0.5% or 1%, are all mole percent relative to Sr2+.",solid-state,2,"['Al2O3', 'SrCO3']","['Al', 'C', 'O', 'Sr']",2,[1000.0],[],2.0,4.0,2.0,1000.0,,,SrAl12O19,4.4592,-3.43836354,0.0023389965625,3.9176207956028133,606.4538801290765
10.1039/C5CP01095K,SrAl2O4,"Synthesis of SrAl12O19, Sr4Al14O25, SrAl2O4, Sr3Al <...> 0.5% or 1%, are all mole percent relative to Sr2+.",solid-state,2,"['Al2O3', 'SrCO3']","['Al', 'C', 'O', 'Sr']",2,[1000.0],[],2.0,4.0,2.0,1000.0,,,SrAl2O4,4.1419999999999995,-3.458835004642857,0.0,3.555923830251846,384.0068146842235
10.1039/C7CP02276J,BaFe12O19,"BaFe12O19 nanostructures were prepared using a sol <...> ndard ferroelectric test unit (TF-2000, aix-ACCT).",solid-state,2,"['Ba(NO3)2', 'Fe(NO3)3·9H2O']","['Ba', 'Fe', 'H', 'N', 'O']",13,"[170.0, 450.0, 800.0, 1100.0, 1250.0]","[72.0, 2.0, 4.0, 2.0, 2.0]",2.0,5.0,13.0,1250.0,82.0,0.40397443254583987,BaFe12O19,1.2425,-1.7352961110937501,0.055359159999999005,5.011014687625418,736.6234424133885
10.1039/C4SC01829J,K4Nb6O17,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,2,"['K2CO3', 'Nb2O5']","['C', 'K', 'Nb', 'O']",4,[899.85],[2.0],2.0,4.0,4.0,899.85,2.0,-0.8313951127100218,K4Nb6O17,2.6581,-2.9229413715370383,0.0,3.705609702472035,1767.044971879869
10.1039/C4SC01829J,KLaNb2O7,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,3,"['La2O3', 'K2CO3', 'Nb2O5']","['C', 'K', 'La', 'Nb', 'O']",4,[899.85],[2.0],3.0,5.0,4.0,899.85,2.0,-0.506465755491041,KLaNb2O7,1.4938999999999991,-3.190779286113636,0.04647482818181901,4.552737698092818,173.54502163960666
10.1039/C4SC01829J,RbCa2Ta3O10,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,3,"['Ta2O5', 'Rb2CO3', 'CaCO3']","['C', 'Ca', 'O', 'Rb', 'Ta']",4,[899.85],[2.0],3.0,5.0,4.0,899.85,2.0,-0.506465755491041,RbCa2Ta3O10,2.202499999999999,-3.3154395099687513,0.026989220959812002,6.062365851477021,237.8797625030067
10.1039/C4SC01829J,LiTaO3,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,2,"['Ta2O5', 'Li2CO3']","['C', 'Li', 'O', 'Ta']",4,[899.85],[2.0],2.0,4.0,4.0,899.85,2.0,-0.8313951127100218,LiTaO3,3.7003,-3.125358770133336,0.0,7.452082824503236,105.12489484369374
10.1039/C4SC01829J,NaTaO3,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,2,"['Ta2O5', 'Na2CO3']","['C', 'Na', 'O', 'Ta']",4,[899.85],[2.0],2.0,4.0,4.0,899.85,2.0,-0.8313951127100218,NaTaO3,2.6172,-3.062992296242529,0.0,7.149405594053545,234.06103598567563
10.1039/C4SC01829J,KTaO3,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,2,"['Ta2O5', 'K2CO3']","['C', 'K', 'O', 'Ta']",4,[899.85],[2.0],2.0,4.0,4.0,899.85,2.0,-0.8313951127100218,KTaO3,2.0995,-3.071587857916669,0.0,6.981426041917768,63.7546200303669
10.1039/C4SC01829J,K2La2Ti3O10,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,3,"['Ti(OC4H9)4', 'K2CO3', 'La(NO3)3']","['C', 'H', 'K', 'La', 'N', 'O', 'Ti']",4,[899.85],[2.0],3.0,7.0,4.0,899.85,2.0,-0.2390892834667453,K2La2Ti3O10,1.733499999999999,-3.431758464970588,0.0008599386764710001,4.7641754774807765,229.90248601795102
10.1039/C4SC01829J,CuCl,"K4Nb6O17, KLaNb2O7, RbCa2Ta3O10, LiTaO3, NaTaO3 an <...> ss CuCl was removed using an aqueous NH3 solution.",solid-state,2,"['Cu', 'CuCl2']","['Cl', 'Cu']",4,[899.85],[2.0],2.0,2.0,4.0,899.85,2.0,-1.0987715847343176,CuCl,0.5569000000000001,-0.498003276249999,0.004516119999999,4.207638995500521,39.06982210929388
10.1039/B105762F,NaMnO2,A number of other potential battery cathode materi <...> um manganese oxides and manganese-vanadium oxides.,solid-state,2,"['Mn2O3', 'Na2CO3']","['C', 'Mn', 'Na', 'O']",2,[],[],2.0,4.0,2.0,,,,NaMnO2,1.222999999999999,-2.025652015452586,0.0,4.251536930987024,42.934458863710745
10.1039/B904702F,Zn2SnO4,"The stannate ZnSnO3, containing Sn(IV) as the B-si <...> bjected to comprehensive structural investigation.",solid-state,2,"['Zn(CH3COO)2', 'ZnSnO3']","['C', 'H', 'O', 'Sn', 'Zn']",1,[750.0],[],2.0,5.0,1.0,750.0,,,Zn2SnO4,0.8250999999999991,-1.909593755714286,0.016983739285715,6.390576451303078,162.93413001046156
10.1039/C5CS00769K,NaTaO3,3.1.1 Tantalates. NaTaO3 has long been recognized  <...> m solid-state reaction under identical conditions.,solid-state,1,['Na2Ta2O6'],"['Na', 'O', 'Ta']",7,[],[],1.0,3.0,7.0,,,,NaTaO3,2.6172,-3.062992296242529,0.0,7.149405594053545,234.06103598567563
10.1039/C6TB00965D,ZnMoO4,"Zinc molybdate phosphors doped with Tm3+ and Yb3+  <...> stle, dried in air and calcined at 650 °C for 3 h.",solid-state,2,"['ZnCO3', 'MoO3']","['C', 'Mo', 'O', 'Zn']",17,"[800.0, 500.0, 650.0]","[1.0, 12.0, 3.0, 3.0]",2.0,4.0,17.0,800.0,19.0,0.002898290585072383,ZnMoO4,2.300799999999999,-1.920267846666667,0.0,5.722572048722729,130.77924738719673
10.1039/C2TA00700B,Li6Zr2O7,Traditional synthesis of Li2ZrO3via solid state re <...> ontrol the sizes and phases of the final products.,solid-state,2,"['Li2CO3', 'ZrO2']","['C', 'Li', 'O', 'Zr']",3,"[799.85, 599.85]",[],2.0,4.0,3.0,799.85,,,Li6Zr2O7,4.0047,-2.865416462333333,0.0,3.585106348610689,311.33817996894476
10.1039/C2TA00700B,Li2ZrO3,"Therefore, great efforts have been made in the dev <...> reaction and thus reduced CO2 absorption capacity.",solid-state,2,"['LiNO3', 'ZrO(NO3)2·2H2O']","['H', 'Li', 'N', 'O', 'Zr']",0,[],[],2.0,5.0,0.0,,,,Li2ZrO3,3.7336,-3.040215971111112,0.0,4.210744562000371,120.75560586356808
10.1039/C2TA00700B,Li6Zr2O7,"Therefore, great efforts have been made in the dev <...> reaction and thus reduced CO2 absorption capacity.",solid-state,2,"['LiNO3', 'ZrO(NO3)2·2H2O']","['H', 'Li', 'N', 'O', 'Zr']",0,[],[],2.0,5.0,0.0,,,,Li6Zr2O7,4.0047,-2.865416462333333,0.0,3.585106348610689,311.33817996894476
10.1039/C3TA15412B,LiMn2O4,"LiMn2O4 was synthesized via solid-state reactions. <...> cted at BL19B2, SPring-8, Sayo, Japan (2012B1574).",solid-state,2,"['MnCO3', 'Li2CO3']","['C', 'Li', 'Mn', 'O']",5,[800.0],[48.0],2.0,4.0,5.0,800.0,48.0,-0.6584137517487167,LiMn2O4,0.42689999999999906,-2.0681063427422,0.0,4.039450477596829,148.65876347556787
10.1039/C3TA11338H,Li5AlO4,Li7La3Zr2O12 precursors were prepared by a sol-gel <...> n alumina crucible with one intermittent grinding.,solid-state,2,"['LiOH·H2O', 'Al(NO3)3·9H2O']","['Al', 'H', 'Li', 'N', 'O']",18,"[50.0, 250.0, 500.0, 700.0, 750.0]","[1.0, 2.0, 12.0, 12.0]",2.0,5.0,18.0,750.0,27.0,0.19882517940247912,Li5AlO4,4.662000000000001,-2.496202980041666,0.0,2.309591473156702,722.9102622621566
10.1039/C4TA04341C,Li2FeSiO4,"Li2FeSiO4/C was synthesized by both nitrate sol-ge <...> 0 °C for 7 h, and the heating rate was 3 °C min-1.",solid-state,2,"['Li2SiO3', 'Fe2O3']","['Fe', 'Li', 'O', 'Si']",6,"[700.0, 700.0]","[1.0, 7.0]",2.0,4.0,6.0,700.0,8.0,-0.808277713265656,Li2FeSiO4,3.123599999999999,-2.563266433645833,0.0,3.312314492741815,324.4764263891368
10.1039/C6TA04611H,Na4Ti5O12,"In addition to Na2Ti3O7, the Na storage ability of <...> tanates as electrode materials in SIBs (Figure 6).",solid-state,2,"['TiO2', 'Na2Ti3O7']","['Na', 'O', 'Ti']",3,[],[],2.0,3.0,3.0,,,,Na4Ti5O12,2.4744,-3.107293959151615,0.0,3.72110954050869,233.51591589482908
10.1039/C6TA04611H,NaTiO2,"In addition to Na2Ti3O7, the Na storage ability of <...> tanates as electrode materials in SIBs (Figure 6).",solid-state,2,"['TiO2', 'Na2Ti3O7']","['Na', 'O', 'Ti']",3,[],[],2.0,3.0,3.0,,,,NaTiO2,0.0,-2.782783946178161,0.008145459961685001,4.023262100483207,42.45204183597924
10.1039/C7TA01228D,SrTiO3,"Particles of H4WO5 were prepared according to the  <...> 00 W Xe lamp (Cermax LF-300F, λ > 400 nm) for 5 h.",solid-state,2,"['SrCO3', 'TiO2']","['C', 'O', 'Sr', 'Ti']",15,"[5.0, 40.0, 999.85, 799.85]","[0.5, 168.0, 10.0, 1.0]",2.0,4.0,15.0,999.85,179.5,0.604638803654377,SrTiO3,1.848799999999999,-3.551662291666667,0.0,5.093987781835845,119.62507795144641
10.1039/C5DT03215F,Mg2GeSe4,The synthesis process of compound 3 is relatively  <...>  with the calculated result (Fig. S1c in the ESI).,solid-state,3,"['Se', 'Ge', 'MgSe']","['Ge', 'Mg', 'Se']",3,"[900.0, 500.0]",[30.0],3.0,3.0,3.0,900.0,30.0,-0.7328439729154645,Mg2GeSe4,1.493799999999999,-1.095587609910714,0.0,4.320046404839095,672.0344668586747
10.1039/C3NR04638A,Zn2GeO4,"All chemicals, including Zn(NO3)2·6H2O (AR, Aladdi <...> ng to our previous work and served as the control.",solid-state,3,"['Zn(NO3)2·6H2O', 'GeO2', 'H2O']","['Ge', 'H', 'N', 'O', 'Zn']",11,"[60.0, 250.0]","[0.5, 8.0, 8.0]",3.0,5.0,11.0,250.0,16.5,-0.41822503904824676,Zn2GeO4,2.2752,-1.9692918614285722,0.0,4.755174506972145,560.383815647266
10.1021/cg3001587,LiFeP2O7,Polycrystalline LiFeP2O7 was synthesized by solid- <...> eP2O7 was confirmed by powder XRD (see Figure S1).,solid-state,3,"['LiH2PO4', 'NH4H2PO4', 'Fe2O3']","['Fe', 'H', 'Li', 'N', 'O', 'P']",3,[200.0],[10.0],3.0,6.0,3.0,200.0,10.0,-0.8543248205915155,LiFeP2O7,1.7443,-2.525759379329004,0.0,3.07172801544365,255.94602694993728
10.1021/cm981011i,Ba7Nb4MoO20,Ba7Nb4MoO20 was prepared by the solid-state reacti <...>  in the platinum crucibles used for the synthesis.,solid-state,3,"['BaCO3', 'Nb2O5', 'MoO3']","['Ba', 'C', 'Mo', 'Nb', 'O']",5,[1300.0],[72.0],3.0,5.0,5.0,1300.0,72.0,0.07621917748363274,Ba7Nb4MoO20,2.6403,-3.137707041249999,0.008759826093751,5.583196718883869,520.1359493512045
10.1021/cm010962k,NaLaTiO4,"Synthesis. The parent layered perovskite, NaLaTiO4 <...> tilled water, and the product was dried at 120 °C.",solid-state,3,"['TiO2', 'La2O3', 'Na2CO3']","['C', 'La', 'Na', 'O', 'Ti']",5,"[850.0, 120.0]",[20.0],3.0,5.0,5.0,850.0,20.0,-0.4066022087423066,NaLaTiO4,2.421499999999999,-3.372114857101807,0.009045200297617,4.795747223047702,189.58001197639666
10.1021/cm050106z,Sr3Fe2O7,The master sample of the parent Sr3Fe2O7-d phase w <...> le immediately after its removal from the furnace.,solid-state,2,"['Fe(NO3)3·9H2O', 'Sr(NO3)2']","['Fe', 'H', 'N', 'O', 'Sr']",7,[1000.0],[110.0],2.0,5.0,7.0,1000.0,110.0,-0.03583441505357342,Sr3Fe2O7,0.0,-2.392676926249999,0.0,5.472297217317551,147.63969801080836
10.1021/cm0503329,Li2MnO3,The nanocrystalline Li2MnO3-like compound of this  <...>  °C for 4-8 h to yield a microcrystalline Li2MnO3.,solid-state,2,"['Li2CO3', 'MnCO3']","['C', 'Li', 'Mn', 'O']",5,"[800.0, 500.0]","[24.0, 6.0, 72.0]",2.0,4.0,5.0,800.0,102.0,-0.45575713147401287,Li2MnO3,1.368399999999999,-2.180112729932952,0.0,3.969588299469367,195.46738339598636
10.1021/cm060175t,LiCoO2,Reference Co3O4 and LiCoO2 phases were obtained by <...> ch crystallizes in the trigonal Rm̂3m space group.,solid-state,2,"['Li2CO3', 'Co3O4']","['C', 'Co', 'Li', 'O']",3,"[450.0, 850.0]","[15.0, 48.0]",2.0,4.0,3.0,850.0,63.0,-0.6985145420202917,LiCoO2,0.6623,-1.745659770833334,0.0,5.121430775621985,31.733696867729034
10.1021/cm070452b,KMnVO4,Synthesis. KMnVO4 was prepared by solid-state reac <...> oom temperature. The crystals have a yellow color.,solid-state,3,"['K2CO3', 'MnO', 'V2O5']","['C', 'K', 'Mn', 'O', 'V']",5,"[700.0, 450.0, 750.0]","[36.0, 6.0, 24.0]",3.0,5.0,5.0,750.0,66.0,-0.2978955840717402,KMnVO4,2.579399999999999,-2.322389123061576,0.016541481964288,3.344336972745972,1660.1766781781903
10.1021/cm900998n,Li2MnO3,Li2MnO3 powder was prepared by a solid state synth <...> te dissolution of the powder into acidic solution.,solid-state,2,"['LiOH', 'MnO(OH)']","['H', 'Li', 'Mn', 'O']",5,"[100.0, 80.0]","[24.0, 60.0]",2.0,4.0,5.0,100.0,84.0,-0.9707968864355925,Li2MnO3,1.368399999999999,-2.180112729932952,0.0,3.969588299469367,195.46738339598636
10.1021/cm100290b,BaYMn2O5,Polycrystalline samples of BaYMn2O5+δ were synthes <...> n fired at 900-1000 °C in flowing N2 gas for 12 h.,solid-state,3,"['Y2O3', 'BaCO3', 'Mn2O3']","['Ba', 'C', 'Mn', 'O', 'Y']",11,"[1100.0, 950.0]",[24.0],3.0,5.0,11.0,1100.0,24.0,0.15329945087174607,BaYMn2O5,0.0,-2.786945273429118,0.0058047095138990005,5.611457428877989,123.13381647670684
10.1021/cm303259j,LiFePO4,Pristine LiFePO4 was synthesized by solid-state re <...> detailed synthesis procedure can be found in ref .,solid-state,3,"['Li2CO3', 'FeC2O4·2H2O', 'NH4H2PO4']","['C', 'Fe', 'H', 'Li', 'N', 'O', 'P']",1,[],[],3.0,7.0,1.0,,,,LiFePO4,3.922399999999999,-2.4798960147108833,0.0,3.683145802977754,284.49838986332463
10.1021/cm402617b,LiFePO4,The ion-exchange method was used to prepare olivin <...> ar ratio 1:2) for 40 h at 60 °C to obtain NaFePO4.,solid-state,3,"['FeC2O4·2H2O', 'Li2CO3', '(NH4)2HPO4']","['C', 'Fe', 'H', 'Li', 'N', 'O', 'P']",1,[],[],3.0,7.0,1.0,,,,LiFePO4,3.922399999999999,-2.4798960147108833,0.0,3.683145802977754,284.49838986332463
10.1021/acs.chemmater.7b02589,Li2MnO3,Li2MnO3 was synthesized using a solid-state reacti <...> ed via powder X-ray diffraction (XRD) (Figure S1).,solid-state,2,"['Li2CO3', 'MnCO3']","['C', 'Li', 'Mn', 'O']",11,"[500.0, 700.0, 85.0, 200.0, 900.0]","[2.0, 5.0, 24.0, 5.0, 10.0]",2.0,4.0,11.0,900.0,46.0,-0.2169196832881259,Li2MnO3,1.368399999999999,-2.180112729932952,0.0,3.969588299469367,195.46738339598636
10.1021/ic402957c,RbCa2Nb3O10,Dion-Jacobson layered perovskites ALaNb2O7 and RbC <...> oduce white to off-white polycrystalline products.,solid-state,3,"['Rb2CO3', 'CaCO3', 'Nb2O5']","['C', 'Ca', 'Nb', 'O', 'Rb']",9,"[1000.0, 1050.0, 850.0, 110.0]","[24.0, 12.0]",3.0,5.0,9.0,1050.0,36.0,0.03801316687332087,RbCa2Nb3O10,1.4777999999999991,-3.106621682968748,0.047629975781223,4.174288965866397,240.4062359998148
10.1021/ic402957c,LiLaNb2O7,Dion-Jacobson layered perovskites ALaNb2O7 and RbC <...> oduce white to off-white polycrystalline products.,solid-state,3,"['La2O3', 'LiNO3', 'Nb2O5']","['La', 'Li', 'N', 'Nb', 'O']",9,"[1000.0, 1050.0, 850.0, 110.0]","[24.0, 12.0]",3.0,5.0,9.0,1050.0,36.0,0.03801316687332087,LiLaNb2O7,1.384999999999999,-3.181968495757575,0.07682651454545701,4.644874642525185,158.60632764204905
10.1021/ic402957c,NaLaNb2O7,Dion-Jacobson layered perovskites ALaNb2O7 and RbC <...> oduce white to off-white polycrystalline products.,solid-state,3,"['NaNO3', 'La2O3', 'Nb2O5']","['La', 'N', 'Na', 'Nb', 'O']",9,"[1000.0, 1050.0, 850.0, 110.0]","[24.0, 12.0]",3.0,5.0,9.0,1050.0,36.0,0.03801316687332087,NaLaNb2O7,1.4924,-3.174266850125391,0.059666848181819006,4.559879702244951,167.4070737859738
10.1021/acs.inorgchem.7b01655,CaAl2O4,"Various precursors were prepared via a modified Pe <...> 1350 °C for 12 h, as described in previous papers.",solid-state,4,"['Ca(NO3)2·4H2O', 'NH3·H2O', 'NH4OH', 'Al(NO3)3·9H2O']","['Al', 'Ca', 'H', 'N', 'O']",5,[950.0],[10.0],4.0,5.0,5.0,950.0,10.0,-0.18896329868957054,CaAl2O4,4.5893999999999995,-3.4544079598809523,0.0007486029761240001,2.9398926917337933,1071.1794954786044
10.1021/ja992541y,K3V5O14,Preparation of Layered Alkali Vanadates.52-56 Laye <...> purity; 99.99%) and V2O5 in air at 600 K for 10 h.,solid-state,2,"['K2CO3', 'V2O5']","['C', 'K', 'O', 'V']",2,[],[],2.0,4.0,2.0,,,,K3V5O14,2.2837,-2.402736184170454,0.0,3.030567025682187,326.5630860734463
10.1021/ja992541y,KV3O8,Preparation of Layered Alkali Vanadates.52-56 Laye <...> purity; 99.99%) and V2O5 in air at 600 K for 10 h.,solid-state,2,"['K2CO3', 'V2O5']","['C', 'K', 'O', 'V']",2,[],[],2.0,4.0,2.0,,,,KV3O8,2.0933,-2.361849654770832,0.0,3.33445478265481,318.6346024974923
10.1021/ja992541y,CsV3O8,Preparation of Layered Alkali Vanadates.52-56 Laye <...> purity; 99.99%) and V2O5 in air at 600 K for 10 h.,solid-state,2,"['Cs2CO3', 'V2O5']","['C', 'Cs', 'O', 'V']",2,[],[],2.0,4.0,2.0,,,,CsV3O8,2.070599999999999,-2.375250615387931,0.0,3.885845929633331,353.5944502204158
10.1021/jp9009756,Y2Sn2O7,For the preparation of Y2Sn2O7 and lanthanide ion  <...> well and heated in air at 900 and 1200 °C for 6 h.,solid-state,2,"['Y2CO3·3H2O', 'SnO2']","['C', 'H', 'O', 'Sn', 'Y']",9,"[100.0, 150.0, 700.0, 1200.0, 900.0]","[5.0, 6.0]",2.0,5.0,9.0,1200.0,11.0,-0.1511602748192324,Y2Sn2O7,2.750099999999999,-3.005540767272727,0.0,6.219571875504394,281.5247988961786
10.1021/jp802153t,LaGaO3,The La-Ga oxide LaGaO3 and the oxysulfides LaGaS2O <...> ir at 473 K for 2 h to remove adsorbed S0 species.,solid-state,2,"['La2O3', 'Ga2O3']","['Ga', 'La', 'O']",9,"[199.85000000000002, 999.85, 899.85, 199.85000000000002]","[5.0, 72.0, 24.25, 2.0]",2.0,3.0,9.0,999.85,103.25,-0.2002811625974318,LaGaO3,3.3483,-3.0979300295,0.03254940314286,6.9637120671375285,244.776697806021
10.1021/jp802153t,LaGaS2O,The La-Ga oxide LaGaO3 and the oxysulfides LaGaS2O <...> ir at 473 K for 2 h to remove adsorbed S0 species.,solid-state,2,"['Ga2S3', 'La2O2S']","['Ga', 'La', 'O', 'S']",9,"[199.85000000000002, 999.85, 899.85, 199.85000000000002]","[5.0, 72.0, 24.25, 2.0]",2.0,4.0,9.0,999.85,103.25,-0.06659292658528396,LaGaS2O,1.9299,-2.227314547499999,0.033718789500001005,5.103695044248154,375.80123402050975
10.1021/jp802153t,La3GaS5O,The La-Ga oxide LaGaO3 and the oxysulfides LaGaS2O <...> ir at 473 K for 2 h to remove adsorbed S0 species.,solid-state,3,"['La2S3', 'Ga2S3', 'La2O2S']","['Ga', 'La', 'O', 'S']",9,"[199.85000000000002, 999.85, 899.85, 199.85000000000002]","[5.0, 72.0, 24.25, 2.0]",3.0,4.0,9.0,999.85,103.25,0.12464819462154905,La3GaS5O,1.196499999999999,-2.394744360999999,0.0,4.990060196658525,882.1899176050932
10.1021/ic502027k,YMnO3,"The YAl1-xMxO3 (M = Mn and Fe) and YB1-xMxO3 (M =  <...> eparation of pure YMnO3, YBO3, and Al-poor phases.",solid-state,2,"['Y(NO3)3·6H2O', 'Mn(NO3)2·4H2O']","['H', 'Mn', 'N', 'O', 'Y']",11,"[250.0, 815.0]","[2.0, 14.0, 0.4166666666666667]",2.0,5.0,11.0,815.0,16.416666666666668,-0.24859252376033472,YMnO3,0.0,-3.027483251919541,0.0,5.120548727866363,373.2740106140465
10.1021/jp402850j,Na2SiO3,The Na2SiO3 was synthesized using solid-state reac <...> 0 °C for 4 h in order to crystallize the material.,solid-state,3,"['Na2CO3', 'SiO2', 'H2O']","['C', 'H', 'Na', 'O', 'Si']",10,"[900.0, 70.0, 700.0, 500.0]","[4.0, 4.0, 0.08333333333333333]",3.0,5.0,10.0,900.0,8.083333333333334,-0.09846664474041258,Na2SiO3,3.8657,-2.692845917126435,0.0,2.667359062327591,151.97862116675321
